Код картины,Название,Год написания,Художник,Техника,Тип,Фото
1001,Апофеоз войны,1871,1,32,2,Апофеоз войны.jpg
1002,Звездная ночь,1889,2,32,1,Звездная ночь.jpg
1003,Крик,1893,3,32,2,Крик.jpg
1004,Девятый вал,1850,4,32,2,Девятый вал.jpg
1005,Постоянство памяти,1931,5,32,1,Постоянство памяти.jpg
1006,Тайная вечеря,1495-1498,6,45,2,Тайная вечеря.jpg
1007,Мона Лиза,1503-1519,6,32,2,Мона Лиза.jpg
1008,Сотворение Адама,1511,7,14,2,Сотворение Адама.jpg
1009,"Ноктюрн в чёрном и золотом. Падающая ракета",1875,8,32,1,"Ноктюрн в чёрном и золотом. Падающая ракета.jpg"
